id,class
0, 1
1, 1
2, 0
3, 0
4, 1
5, 0
6, 1
7, 0
8, 0
9, 1
10, 0
11, 0
12, 0
13, 1
14, 0
15, 0
16, 1
17, 1
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 1
25, 1
26, 0
27, 1
28, 0
29, 1
30, 0
31, 0
32, 0
33, 1
34, 0
35, 1
36, 1
37, 0
38, 0
39, 1
40, 1
41, 0
42, 1
43, 0
44, 0
45, 0
46, 1
47, 0
48, 0
49, 1
50, 0
51, 0
52, 1
53, 0
54, 1
55, 1
56, 1
57, 1
58, 1
59, 1
60, 0
61, 0
62, 0
63, 1
64, 0
65, 1
66, 1
67, 0
68, 1
69, 1
70, 0
71, 0
72, 0
73, 0
74, 1
75, 1
76, 0
77, 1
78, 0
79, 1
80, 0
81, 0
82, 0
83, 0
84, 0
85, 0
86, 1
87, 0
88, 1
89, 0
90, 0
91, 1
92, 0
93, 0
94, 1
95, 0
96, 0
97, 0
98, 0
99, 1
100, 1
101, 0
102, 0
103, 0
104, 0
105, 1
106, 0
107, 0
108, 0
109, 0
110, 0
111, 0
112, 0
113, 0
114, 0
115, 1
116, 1
117, 0
118, 0
119, 0
120, 0
121, 0
122, 1
123, 1
124, 0
125, 0
126, 0
127, 0
128, 0
129, 1
130, 0
131, 1
132, 1
133, 0
134, 1
135, 0
136, 0
137, 1
138, 1
139, 1
140, 0
141, 0
142, 0
143, 0
144, 0
145, 0
146, 0
147, 0
148, 0
149, 0
150, 1
151, 1
152, 1
153, 0
154, 1
155, 0
156, 0
157, 1
158, 0
159, 0
160, 1
161, 0
162, 1
163, 0
164, 0
165, 1
166, 0
167, 1
168, 1
169, 0
170, 0
171, 0
172, 0
173, 0
174, 1
175, 0
176, 0
177, 0
178, 1
179, 0
180, 0
181, 0
182, 0
183, 0
184, 1
185, 0
186, 1
187, 1
188, 1
189, 0
190, 0
191, 0
192, 0
193, 0
194, 1
195, 0
196, 0
197, 0
198, 0
199, 1
200, 0
201, 0
202, 1
203, 0
204, 0
205, 0
206, 0
207, 0
208, 1
209, 1
210, 0
211, 1
212, 1
213, 0
214, 0
215, 1
216, 0
217, 0
218, 1
219, 1
220, 1
221, 1
222, 0
223, 1
224, 1
225, 1
226, 1
227, 1
228, 0
229, 0
230, 1
231, 0
232, 1
233, 1
234, 1
235, 0
236, 0
237, 0
238, 0
239, 1
240, 0
241, 0
242, 1
243, 0
244, 0
245, 1
246, 1
247, 0
248, 0
249, 0
250, 1
251, 1
252, 1
253, 1
254, 0
255, 0
256, 0
257, 1
258, 0
259, 0
260, 0
261, 0
262, 0
263, 0
264, 1
265, 1
266, 0
267, 0
268, 1
269, 0
270, 0
271, 1
272, 1
273, 0
274, 0
275, 0
276, 1
277, 0
278, 0
279, 0
280, 0
281, 1
282, 0
283, 0
284, 0
285, 0
286, 0
287, 0
288, 1
289, 0
290, 1
291, 0
292, 0
293, 0
294, 0
295, 1
296, 0
297, 1
298, 0
299, 1
300, 1
301, 0
302, 0
303, 0
304, 1
305, 0
306, 0
307, 1
308, 0
309, 1
310, 0
311, 0
312, 0
313, 1
314, 0
315, 0
316, 0
317, 1
318, 0
319, 0
320, 0
321, 1
322, 0
323, 0
324, 0
325, 0
326, 0
327, 1
328, 1
329, 0
330, 0
331, 0
332, 0
333, 1
334, 0
335, 0
336, 0
337, 1
338, 0
339, 0
340, 0
341, 0
342, 1
343, 0
344, 0
345, 0
346, 1
347, 1
348, 1
349, 1
350, 0
351, 1
352, 0
353, 0
354, 1
355, 0
356, 0
357, 1
358, 0
359, 1
360, 1
361, 1
362, 1
363, 0
364, 1
365, 1
366, 0
367, 0
368, 0
369, 1
370, 1
371, 1
372, 0
373, 1
374, 1
375, 1
376, 0
377, 1
378, 0
379, 0
380, 1
381, 1
382, 1
383, 0
384, 0
385, 1
386, 0
387, 0
388, 0
389, 0
390, 0
391, 0
392, 1
393, 0
394, 0
395, 0
396, 1
397, 0
398, 1
399, 0
400, 0
401, 1
402, 1
403, 0
404, 0
405, 1
406, 0
407, 1
408, 0
409, 1
410, 0
411, 0
412, 0
413, 0
414, 1
415, 0
416, 0
417, 0
418, 0
419, 0
420, 1
421, 0
422, 1
423, 0
424, 0
425, 0
426, 0
427, 1
428, 1
429, 0
430, 0
431, 0
432, 1
433, 1
434, 0
435, 0
436, 1
437, 1
438, 1
439, 1
440, 0
441, 1
442, 1
443, 1
444, 0
445, 0
446, 0
447, 1
448, 0
449, 1
450, 0
451, 0
452, 0
453, 1
454, 0
455, 1
456, 0
457, 0
458, 1
459, 0
460, 0
461, 0
462, 0
463, 0
464, 1
465, 0
466, 1
467, 0
468, 0
469, 0
470, 0
471, 1
472, 0
473, 0
474, 0
475, 0
476, 0
477, 0
478, 0
479, 0
480, 1
481, 0
482, 0
483, 0
484, 1
485, 0
486, 0
487, 0
488, 1
489, 1
490, 1
491, 1
492, 0
493, 0
494, 0
495, 0
496, 1
497, 1
498, 0
499, 0
500, 0
501, 0
502, 1
503, 1
504, 0
505, 0
506, 1
507, 0
508, 0
509, 1
510, 1
511, 0
512, 0
513, 1
514, 1
515, 0
516, 0
517, 0
518, 0
519, 0
520, 0
521, 0
522, 0
523, 0
524, 0
525, 0
526, 0
527, 1
528, 1
529, 0
530, 0
531, 1
532, 0
533, 0
534, 1
535, 1
536, 0
537, 0
538, 0
539, 1
540, 0
541, 0
542, 1
543, 0
544, 0
545, 1
546, 1
547, 1
548, 0
549, 0
550, 1
551, 0
552, 1
553, 0
554, 0
555, 1
556, 0
557, 0
558, 1
559, 1
560, 0
561, 1
562, 1
563, 1
564, 0
565, 1
566, 1
567, 0
568, 0
569, 0
570, 1
571, 1
572, 0
573, 1
574, 0
575, 1
576, 1
577, 0
578, 0
579, 1
580, 0
581, 0
582, 1
583, 0
584, 0
585, 0
586, 0
587, 1
588, 1
589, 1
590, 1
591, 0
592, 0
593, 0
594, 1
595, 1
596, 0
597, 0
598, 0
599, 0
600, 1
601, 1
602, 0
603, 1
604, 0
605, 1
606, 0
607, 1
608, 1
609, 1
610, 1
611, 0
612, 1
613, 0
614, 0
615, 0
616, 1
617, 0
618, 1
619, 0
620, 0
621, 0
622, 0
623, 1
624, 0
625, 0
626, 0
627, 0
628, 1
629, 1
630, 0
631, 0
632, 0
633, 0
634, 1
635, 1
636, 1
637, 0
638, 1
639, 0
640, 1
641, 0
642, 1
643, 0
644, 0
645, 1
646, 0
647, 1
648, 0
649, 0
